@RELATION corpus

@ATTRIBUTE CRFSO1 REAL
@ATTRIBUTE CRFANP1 REAL
@ATTRIBUTE WRDADJ REAL
@ATTRIBUTE WRDPRO REAL
@ATTRIBUTE DRNEG REAL
@ATTRIBUTE DESWLsyd REAL
@ATTRIBUTE DESWLltd REAL
@ATTRIBUTE DESWLsy REAL
@ATTRIBUTE CRFCWOa REAL
@ATTRIBUTE DESSC REAL
@ATTRIBUTE DRNP REAL
@ATTRIBUTE CRFSOa REAL
@ATTRIBUTE CRFAO1 REAL
@ATTRIBUTE DESWC REAL
@ATTRIBUTE DESSL REAL
@ATTRIBUTE WRDVERB REAL
@ATTRIBUTE CNCADC REAL
@ATTRIBUTE DRVP REAL
@ATTRIBUTE SYNNP REAL
@ATTRIBUTE RDFFGL REAL
@ATTRIBUTE CNCCaus REAL
@ATTRIBUTE LDTTRc REAL
@ATTRIBUTE CRFAOa REAL
@ATTRIBUTE CNCTemp REAL
@ATTRIBUTE CRFCWOad REAL
@ATTRIBUTE CRFNOa REAL
@ATTRIBUTE CNCAdd REAL
@ATTRIBUTE WRDPRP2 REAL
@ATTRIBUTE CRFCWO1d REAL
@ATTRIBUTE CNCLogic REAL
@ATTRIBUTE WRDNOUN REAL
@ATTRIBUTE LDTTRa REAL
@ATTRIBUTE CRFCWO1 REAL
@ATTRIBUTE CNCAll REAL
@ATTRIBUTE WRDPRP3s REAL
@ATTRIBUTE DESPL REAL
@ATTRIBUTE WRDPRP3p REAL
@ATTRIBUTE DESSLd REAL
@ATTRIBUTE WRDPRP1s REAL
@ATTRIBUTE DESWLlt REAL
@ATTRIBUTE CRFANP1a REAL
@ATTRIBUTE WRDPRP1p REAL
@ATTRIBUTE CRFNO1 REAL
@ATTRIBUTE WRDADV REAL
@ATTRIBUTE DESPC REAL
@ATTRIBUTE class {simple,complejo}

@DATA
0.500000,0.000000,0.014000,0.013000,3.000000,1.109097,2.513795,1.955923,0.118878,21.000000,0.000000,0.383220,0.750000,363.000000,17.285714,0.087000,0.000000,20.000000,0.595745,84.335590,0.004000,0.489796,0.600907,0.003000,0.102806,0.369615,0.010000,0.000000,0.060843,0.010000,0.064000,0.444712,0.126085,0.016000,0.005000,144.746248,0.005000,9.665107,0.000000,4.380165,0.000000,0.003000,0.450000,0.017000,7.000000,simple
0.142857,0.000000,0.026000,0.007000,4.000000,1.069762,2.599644,2.050328,0.082956,29.000000,0.000000,0.179548,0.392857,457.000000,15.758621,0.112000,0.008000,29.000000,0.728000,78.087748,0.007000,0.546729,0.361474,0.007000,0.089181,0.178359,0.010000,0.000000,0.051366,0.009000,0.083000,0.494186,0.070081,0.028000,0.003000,132.811646,0.003000,11.223875,0.001000,4.678337,0.000000,0.000000,0.142857,0.034000,10.000000,simple
0.200000,0.000000,0.015000,0.009000,1.000000,0.992029,2.351897,1.965854,0.130420,11.000000,0.000000,0.314050,0.600000,205.000000,18.636364,0.040000,0.004000,11.000000,0.750000,83.902114,0.000000,0.671958,0.553719,0.002000,0.122363,0.297521,0.011000,0.000000,0.034075,0.010000,0.046000,0.604444,0.083657,0.017000,0.007000,219.203102,0.002000,8.225238,0.000000,4.346341,0.000000,0.000000,0.200000,0.009000,2.000000,simple
0.285714,0.000000,0.017000,0.012000,2.000000,1.470389,2.513203,2.034884,0.089513,22.000000,0.000000,0.231405,0.571429,344.000000,15.636364,0.069000,0.008000,21.000000,0.577320,79.080310,0.000000,0.590625,0.442149,0.003000,0.102726,0.185950,0.015000,0.000000,0.048629,0.013000,0.071000,0.525253,0.084160,0.026000,0.009000,133.125095,0.001000,11.116463,0.002000,4.238372,0.000000,0.000000,0.238095,0.030000,11.000000,simple
0.846154,0.000000,0.014000,0.010000,5.000000,1.268100,3.083904,2.195783,0.151971,14.000000,0.000000,0.663265,0.923077,332.000000,23.714286,0.085000,0.006000,14.000000,0.604396,71.285012,0.002000,0.566343,0.775510,0.002000,0.108442,0.612245,0.012000,0.000000,0.040671,0.014000,0.064000,0.506667,0.140698,0.024000,0.010000,89.169502,0.000000,11.384393,0.000000,4.921687,0.000000,0.000000,0.692308,0.023000,5.000000,simple
0.096774,0.000000,0.006000,0.011000,8.000000,1.185552,2.617573,2.038462,0.074858,32.000000,0.000000,0.122070,0.225806,286.000000,8.937500,0.067000,0.002000,19.000000,0.505882,75.440386,0.002000,0.599237,0.208984,0.004000,0.136639,0.080078,0.013000,0.002000,0.142830,0.012000,0.060000,0.495822,0.097796,0.019000,0.004000,121.516574,0.000000,8.713865,0.005000,4.346154,0.000000,0.000000,0.064516,0.028000,10.000000,simple
0.615385,0.000000,0.009000,0.012000,4.000000,1.153608,2.494123,2.031674,0.131940,14.000000,0.000000,0.464286,0.692308,221.000000,15.785714,0.050000,0.003000,13.000000,0.385965,79.317500,0.003000,0.539216,0.637755,0.001000,0.118110,0.423469,0.008000,0.000000,0.074767,0.008000,0.048000,0.492126,0.120722,0.015000,0.008000,145.663997,0.004000,6.874463,0.000000,4.325792,0.000000,0.000000,0.615385,0.010000,2.000000,simple
0.444444,0.000000,0.021000,0.027000,16.000000,1.056934,2.459938,1.909836,0.099310,28.000000,0.000000,0.414541,0.703704,488.000000,17.428571,0.120000,0.007000,27.000000,0.569231,86.990168,0.006000,0.481153,0.651786,0.004000,0.089142,0.381378,0.019000,0.003000,0.048245,0.017000,0.092000,0.441989,0.099926,0.035000,0.012000,133.054947,0.000000,8.921172,0.012000,4.256148,0.000000,0.000000,0.407407,0.043000,7.000000,simple
0.142857,0.000000,0.008000,0.003000,5.000000,1.064404,2.386340,1.928105,0.186052,8.000000,0.000000,0.359375,0.714286,153.000000,19.125000,0.043000,0.000000,8.000000,0.564103,86.718943,0.000000,0.659864,0.812500,0.000000,0.125543,0.265625,0.004000,0.000000,0.025513,0.004000,0.022000,0.548913,0.137124,0.004000,0.002000,4.949747,0.001000,9.775151,0.000000,4.169935,0.000000,0.000000,0.000000,0.016000,2.000000,simple
0.291667,0.000000,0.017000,0.020000,7.000000,1.018081,2.523044,1.930412,0.102437,25.000000,0.000000,0.249600,0.541667,388.000000,15.520000,0.077000,0.001000,23.000000,0.638889,85.447572,0.003000,0.487738,0.529600,0.004000,0.098883,0.211200,0.011000,0.000000,0.056494,0.011000,0.077000,0.432314,0.101495,0.019000,0.011000,130.831635,0.006000,9.764391,0.000000,4.381443,0.000000,0.003000,0.208333,0.025000,4.000000,simple
0.800000,0.000000,0.018000,0.004000,2.000000,1.118219,2.677113,2.016129,0.183500,11.000000,0.000000,0.867769,1.000000,372.000000,33.818182,0.080000,0.006000,11.000000,0.670103,83.162113,0.001000,0.511494,0.983471,0.004000,0.111141,0.867769,0.015000,0.000000,0.048723,0.014000,0.080000,0.463768,0.154098,0.026000,0.004000,192.161391,0.000000,14.702504,0.000000,4.513441,0.000000,0.000000,0.800000,0.017000,4.000000,simple
0.312500,0.000000,0.024000,0.016000,6.000000,1.015514,2.505465,1.903427,0.110073,17.000000,0.000000,0.252595,0.625000,321.000000,18.882353,0.079000,0.002000,17.000000,0.679487,87.985599,0.000000,0.619863,0.564014,0.003000,0.106855,0.200692,0.013000,0.004000,0.072076,0.013000,0.060000,0.528150,0.104280,0.019000,0.002000,342.070655,0.003000,12.035792,0.004000,4.395639,0.000000,0.003000,0.312500,0.012000,3.000000,simple
0.375000,0.000000,0.012000,0.006000,6.000000,1.018049,2.523555,1.843818,0.122433,25.000000,0.000000,0.403200,0.583333,461.000000,18.440000,0.098000,0.005000,25.000000,0.730159,91.230464,0.000000,0.513889,0.574400,0.000000,0.090904,0.281600,0.021000,0.000000,0.051397,0.021000,0.098000,0.455078,0.112667,0.026000,0.002000,188.269975,0.004000,7.953406,0.000000,4.221258,0.000000,0.000000,0.208333,0.029000,4.000000,simple
